# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אילאריס	ILARIS	CANAKINUMAB	אסור להתרים	טיפול במצבים דלקתיים שונים
אילומיה	ILUMYA	TILDRAKIZUMAB	אסור להתרים	טיפול בפסוריאזיס קשה
אימובן	IMOVAN	ZOPICLONE	מותר להתרים	טיפול בהפרעות שינה
אימודיום	IMODIUM	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
אימוראן	IMURAN	AZATHIOPRINE	אסור להתרים	טיפול אימונוסופרסיבי
אימיטרקס	IMITREX	SUMATRIPTAN	מותר להתרים 24 שעות לאחר ההתקף	טיפול בהתקפי מיגרנה
אימפבידו	IMPAVIDO	MILTEFOSINE	אסור להתרים	טיפול בשושנת יריחו
אינדוביס	INDOVIS	INDOMETHACIN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אינדוביס	INDOVIS	INDOMETHACIN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול  בדלקת
אינובלון	INOVELON	RUFINAMIDE	אסור להתרים	נגד התקווצויות
אינווגה	INVEGA	PALIPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
אינסולטרד	INSULATARD	INSULIN	אסור להתרים	טיפול בסכרת
אינסולין	INSULIN	INSULIN	אסור להתרים	טיפול בסכרת
אינספרה	INSPRA	EPLERENONE	אסור להתרים	טיפול באי ספיקת לב
אינקרוז אליפטה	INCRUSE ELLIPTA	UMECLIDINIUM	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
איקאפרס	IKAPRESS	VERAPAMIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
איקאפרס	IKAPRESS	VERAPAMIL	אסור להתרים	טיפול בבעיות לב
איקאקור	IKACOR	VERAPAMIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
איקאקור	IKACOR	VERAPAMIL	אסור להתרים	טיפול בבעיות לב
איקסיפי	IXIFI	INFLIXIMAB	אסור להתרים	טיפול אימונוסופרסיבי
איקסל	IXEL	MILNACIPRAN	מותר להתרים	טיפול בדיכאון
אירובנט	AEROVENT	IPRATROPIUM	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה/ ברונכיטיס)	טיפול באסטמה/ ברונכיטיס כרונית
אירובנט	AEROVENT	IPRATROPIUM	אסור להתרים	טיפול באמפיזמה
אלדקטון	ALDACTONE	SPIRONOLACTONE	אסור להתרים	טיפול במחלות לב, כבד, כליות
אלדקטון	ALDACTONE	SPIRONOLACTONE	מותר להתרים	טיפול ביתר לחץ דם, בעיות הורמונליות
אלוריל	ALLORIL	ALLOPURINOL	מותר להתרים בהתאם למחלה/ מצב רפואי	להורדת הרמות של חומצת אורית בדם
אלטרול	ELATROL	AMITRIPTYLINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
אלטרולט	ELATROLET	AMITRIPTYLINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
אלטרוקסין	ELTROXIN	LEVOTHYROXINE SODIUM	מותר להתרים אם תיפקודי בלוטת התריס תקינים	טיפול בתת פעילות של בלוטת התריס
אלטריפטן	ELETRIPTAN	ELETRIPTAN	מותר להתרים אם ללא התקף ביום התרומה	טיפול בהתקפי מיגרנה
אליקוויס	ELIQUIS	APIXABAN	אסור להתרים	לדילול דם
אלפא די 3	ALPHA D3	ALFACALCIDOL	מותר להתרים	טיפול באוסטאופורוזיס
אלפו-קל XL	ALFU KAL XL	ALFUZOSINE	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
אלפוזוסין	ALFUZOSIN	ALFUZOSINE	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
אלפרליד	ALPRALID	ALPRAZOLAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול במצבי חרדה ודיכאון
אלצינל סירופ	ALCINAL SIRUP	CHLORPHENIRAMINE, DEXTROMETHORPHAN, GUAIFENESIN	מותר להתרים לאחר החלמה	טיפול בשיעול ונזלת
אלרג'י- קאר	ALLERGY- CARE	CETIRIZINE	מותר להתרים	טיפול באלרגיה
אלרג'י X	ALLERGYX	LORATADINE	מותר להתרים	טיפול באלרגיה
אלרג'ית	ALERGIT	LORATADINE	מותר להתרים	טיפול באלרגיה
אמביאן	AMBIEN	ZOLPIDEM	מותר להתרים	טיפול בהפרעות שינה
אמבריסנטן	AMBRISENTAN	AMBRISENTAN	אסור להתרים	טיפול ביתר לחץ דם ריאתי
אמג'ויטה	AMGEVITA	ADALIMUMAB	אסור להתרים	טיפול אימונוסופרסיבי
אמגליטי	EMGALITY	CALCANEZUMAB	מותר להתרים אם ללא כאבי ראש ביום התרומה ועברו 24 שעות ממועד הזריקה	לטיפול במיגרנה
אמוקסי קאר	AMOXI CARE	AMOXYCILLIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
אמוקסיקלב	AMOXICLAV	AMOXYCILLIN, CLAVULANIC ACID	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
אמיאוקרד	AMIOCARD	AMIODARONE	אסור להתרים	טיפול בהפרעות קצב
אמילי	EMILY	ETHINYLESTRADIOL, GESTODENE	מותר להתרים	גלולות למניעת הריון
אמלו	AMLOW	AMLODIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אמלו	AMLOW	AMLODIPINE	אסור להתרים	טיפול בבעיות לב
אמלודיפין	AMLODIPINE	AMLODIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אמלודיפין	AMLODIPINE	AMLODIPINE	אסור להתרים	טיפול בבעיות לב
אמנדין	AMANDIN	AMANTADINE	אסור להתרים	טיפול במחלת פרקינסון קשה
אמספאריטי	AMSPARITY	ADALIMUMAB	אסור להתרים	טיפול אימונוסופרסיבי
אמריל	AMARYL	GLIMEPIRIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
אנאפרניל	ANAFRANIL	CLOMIPRAMINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
אנברל	ENBREL	ETANERCEPT	אסור להתרים	טיפול אימונוסופרסיבי
אנג'ליק	ANGELIQ	Drospirenone & Estradiol	מותר להתרים	טיפול הורמונלי בגיל המעבר (HRT)
אנגריד	ANAGRID	ANAGRELIDE	אסור להתרים	טיפול בטרומבוציטמיה אסנציאלית
אנדרוג'ל	ANDROGEL	TESTOSTERONE	מותר להתרים	טיפול לחסר טסטוסטרון
אנדרוקור	ANDROCUR	CYPROTERONE	מותר להתרים	טיפול הורמונלי לנשים
אנדרוקסון	ANDROXON	TESTOSTERONE	מותר להתרים	טיפול לחסר טסטוסטרון
אנורו אליפטה	ANORO ELLIPTA	UMECLIDINIUM, VILANTEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
אנטומין	ENTUMIN	CLOTIAPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
אנטיביו	ENTYVIO	VEDOLIZUMAB	אסור להתרים	טיםול בקוליטיס ומחלת קרוהן
אנטרסטו	ENTRESTO	SACUBITRIL/VALSARTAN	אסור להתרים	טיפול באי ספיקת לב
אנלדקס	ENALADEX	ENALAPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אנלדקס	ENALADEX	ENALAPRIL	אסור להתרים	טיפול בבעיות לב
אנלפריל	ENALAPRIL	ENALAPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אנלפריל	ENALAPRIL	ENALAPRIL	אסור להתרים	טיפול בבעיות לב
אנציפלמד	ENCYPALMED	PANCREATIN, OX BILE OIL	מותר להתרים אם אין עדות לדלקת חריפה	טיפול באי נוחות במע' העיכול/גזים
אסאקול	ASACOL	MESALAZINE	אסור להתרים	טיפול במחלת קרוהן ואולצרטיב קוליטיס
אסברייט	ESBRIET	PIRFENIDONE	אסור להתרים	טיפול במחלה ריאתית פיברוטית
אסומפראזול	ESOMEPRAZOLE	ESOMEPRAZOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה, רפלוקס, הליקובקטר
אסופרים	ESOPRIM	ESOMEPRAZOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה, רפלוקס, הליקובקטר
אסטו	ESTO	ESCITALOPRAM	מותר להתרים	טיפול בדיכאון
אסטל	ESTELLE	CYPROTERONE, ETHINYLESTRADIOL	מותר להתרים	טיפול הורמונלי
אסטרופם	ESTROFEM	ESTRADIOL	מותר להתרים	טיפול הורמונלי
