# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
סילריל	CILARIL	CILAZAPRIL	אסור להתרים	טיפול בבעיות לב
סימבאלטה	CYMBALTA	DULOXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
סימבאלטה	CYMBALTA	DULOXETINE	יש לפנות לסמכות רפואית	כאב נוירופטי בחולי סכרת, פיברומיאלגיה
סימביקורט	SYMBICORT	BUDESONIDE, FORMOTEROL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
סימבסטאטין	SIMVASTATIN	SIMVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
סימבקור	SIMVACOR	SIMVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
סימבקסון	SIMVAXON	SIMVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
סימוביל	SIMOVIL	SIMVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
סימזיה	CIMZIA	CERTOLIZUMAB	אסור להתרים	טיפול בדלקת פרקים פעילה ומחלת קרוהן
סימידונה	CIMIDONA	CIMICIFUGAE RHIZOMA EXTRACT	מותר להתרים	טיפול בתופעות של גיל המעבר
סימפוני	SIMPONI	GOLIMUMAB	אסור להתרים	טיפול אימונוסופרסיבי
סינאקלסט	CINACALCET	CINACALCET	אסור להתרים	טיפול בעיות של בלוטת יותרת התריס
סינגולייר	SINGULAIR	MONTELUKAST	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
סינמט	SINEMET	CARBIDOPA, LEVODOPA	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
סינקאייר	CINQAIR	RESLIZUMAB	אסור להתרים	טיפול באסטמה קשה
סינתרואיד	SYNTHROID	LEVOTHYROXINE	מותר להתרים אם תיפקודי בלוטת התריס תקינים	טיפול בתת פעילות של בלוטת התריס
סיפרול	SIFROL	PRAMIPEXOLE	סיכון לירידת לחץ דם, מותר להתרים בהתאם למצבו התורם. לוודא שתייה,למדוד ל"ד ודופק 15 דקות לאחר תרומה	טיפול במחלת פרקינסון
סירן	SIRAN	ACETYLCYSTEINE	מותר להתרים לאחר החלמה	מכייח/טיפול בשיעול וליחה
סירקדין	CIRCADIN	MELATONIN	מותר להתרים	טיפול   בהפרעות שינה
סלאזופירין	SALAZOPYRINE	SULPHASALAZINE	אסור להתרים	טיפול במחלת קרוהן וקוליטיס מכוייבית (Ulcerative Colitis)
סלבותרים	SALBUTRIM	SALBUTAMOL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
סלבותרים	SALBUTRIM	SALBUTAMOL	אסור להתרים	טיפול באמפיזמה
סלבקל	SALVAKAL	PILOCARPINE	אסור להתרים	טיפול בסרטן ותסמונת סיוגרן
סלג'ין	SELGIN	SELEGILINE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
סלגן	SALAGEN	PILOCARPINE	אסור להתרים	טיפול בסרטן ותסמונת סיוגרן
סלואו דרלין	SLOW DERALIN	PROPRANOLOL	אסור להתרים	טיפול בבעיות לב/ קצב לב מהיר בפעילות יתר של בלותת התריס
סלואו דרלין	SLOW DERALIN	PROPRANOLOL	מותר להתרים בהתאם למחלה/ מצב רפואי. יש לבדוק דופק	טיפול בתנועות בלתי רצוניות/ רעד
סלואו דרלין	SLOW DERALIN	PROPRANOLOL	מותר להתרים. יש לבדוק דופק	למניעת התקפי מיגרנה
סליידר	SLIDER	SILDENAFIL	אסור להתרים	טיפול ביתר לחץ דם ריאתי
סלינקרו	SELINCRO	NALMEFENE	יש לפנות לסמכות רפואית	טיפול בצריכת יתר של אלכוהול
סליפ איד	SLEEP AID	DOXYLAMINE	מותר להתרים	טיפול בהפרעות שינה
סלקוקס	CELCOX	CELECOXIB	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים, בעיקר בעצמות ופרקים
סלקוקס	CELCOX	CELECOXIB	אסור להתרים	טיפול בדלקת פרקים פעילה
סנדאימון ניאורל	SANDIMMUN NEORAL	CICLOSPORIN	אסור להתרים	מדכא מערכת החיסונית
סנסמול	SENSAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
סנסמול	SENSAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
ספורנוקס	SPORANOX	ITRACONAZOLE	אסור להתרים	טיפול בפטרת בפה ובוושט
ספזמו-ליט	SPASMO-LIT	TROSPIUM	מותר להתרים בהתאם למחלה/ מצב רפואי	טיפול בשלפוחית רגיזה ובריחת שתן
ספזמומן	SPASMOMEN	OTILONIUM	מותר להתרים אם אין עדות לגסטרואנטריטיס חריפה	טיפול בתסמונת המעי הרגיז
ספזמקס	SPASMEX	TROSPIUM	מותר להתרים בהתאם למחלה/ מצב רפואי	טיפול בשלפוחית רגיזה ובריחת שתן
ספיולטו רספימט	SPIOLTO RESPIMAT	TIOTROPIUM, OLODATEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
ספירונולקטון	SPIRONOLACTONE	SPIRONOLACTONE	יש לפנות לסמכות רפואית	משתן/דיורטיקה
ספיריבה	SPIRIVA	TIOTROPIUM	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
ספסמלגין	SPASMALGIN	ATROPINE, CODEINE, PAPAVERINE, PARACETAMOL	יש לפנות לסמכות רפואית	טיפול בכאב עוויתי במערכת העיכול/כליות
סרבנט דיסקוס	SEREVENT DISKUS	SALMETEROL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
סרבנט דיסקוס	SEREVENT DISKUS	SALMETEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב- COPD
סרדולקט	SERDOLECT	SERTINDOLE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
סרוקואל	SEROQUEL	QUETIAPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
סרוקסט	SEROXAT	PAROXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
סרזט	CERAZETTE	DESOGESTREL	מותר להתרים	גלולות מניעת הריון
סרטייד דיסקוס	SERETIDE DISKUS	FLUTICASONE, SALMETEROL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
סרטרלין	SERTRALINE	SERTRALINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
סרנדה	SERENADA	SERTRALINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
עצירות X	ATZIRUT X	BISACODYL	מותר להתרים	טיפול בעצירות
ערבה	ARAVA	LEFLUNOMIDE	אסור להתרים	טיפול בראומטויד או פסורואטיק ארטריטיס
ערמוניה	ARMONIA	DUTASTERIDE	מותר להתרים 6 חודשים לאחר סיום הטיפול	טיפול בהגדלת פרוסטטה שפירה
פאקסט	PAXXET	PAROXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
פבאוריק	FEBURIC	FEBUXOSTAT	מותר להתרים	טיפול בעודף חומצת אורית בדם
פבוקסיל	FAVOXIL	FLUVOXAMINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
פוינט	POINT	NAPROXEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
פוינט	POINT	NAPROXEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים
פולירון	FOLIRON	FOLIC ACID, IRON	מותר להתרים אם לא נלקח לתיקון אנמיה/חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
פולקס	FOLEX	FOLIC ACID, IRON	מותר להתרים אם לא נלקח לתיקון אנמיה/חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
פומיניק	FOMINIC	DESOGESTREL	מותר להתרים	גלולות למניעת הריון
פוסאוונס	FOSAVANCE	ALENDRONATE	מותר להתרים	טיפול באוסטאופורוזיס
פוסאלאן	FOSALAN	ALENDRONATE	מותר להתרים	טיפול באוסטאופורוזיס
פוסטינור	POSTINOR	LEVONORGESTREL	מותר להתרים	גלולות מניעת הריון
פוסטר	FOSTER	FORMOTEROL, BECLOMETASONE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
פוסיד	FUSID	FUROSEMIDE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
פוסידין	FUCIDIN	SODIUM FUSIDATE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
פורדיל	FORADIL	FORMOTEROL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה/ברונכיטיס)	טיפול באסטמה/ ברונכיטיס כרונית
פורדיל	FORADIL	FORMOTEROL	אסור להתרים	טיפול באמפיזמה
פורדיל	FORADIL	FORMOTEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב- COPD
פורטאו	FORTEO	TERIPARATIDE	מותר להתרים, אם עברו 24 שעות לאחר הזריקה	טיפול באוסטאופורוזיס
פורסיגה	FORXIGA	DAPAGLIFLOZIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
פיוגליטזון	PIOGLITAZONE	PIOGLITAZONE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
פייקומפה	FYCOMPA	PERAMPANEL	.אסור להתרים	טיפול באפילפסיה
פינגולימוד	FINGOLIMOD	FINGOLIMOD	אסור להתרים	טיפול בטרשת נפוצה
פינסטרייד	FINASTERIDE	FINASTERIDE	מותר להתרים חודש לאחר סיום הטיפול	טיפול בנשירת שער
פירידוסטיגמין	PYRIDOSTIGMINE	PYRIDOSTIGMINE	אסור להתרים	טיפול במיאסטניה גרביס
פלאג'יל	FLAGYL	METRONIDAZOLE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
פלובוקסמין	FLUVOXAMINE	FLUVOXAMINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
פלוטין	FLUTINE	FLUOXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
פלוטיפורם	FLUTIFORM	FLUTICASONE, FORMOTEROL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
פלויקס	PLAVIX	CLOPIDOGREL	יש לפנות לסמכות רפואית. לא לטרומבוציטים,	דילול דם
פלוקונזול	FLUCONAZOLE	FLUCONAZOLE	לפנות לסמכות רפואית	טיפול בפטרת
פלוקנול	FLUCANOL	FLUCONAZOLE	לפנות לסמכות רפואית	טיפול בפטרת
פלורט	FLORET	ETHINYLESTRADIOL, GESTODENE	מותר להתרים	גלולות למניעת הריון
פליים	FLAME	ETHINYLESTRADIOL, GESTODENE	מותר להתרים	גלולות למניעת הריון
פליקסוטייד משאף/דיסקוס	FLIXOTIDE	FLUTICASONE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
פליקסוטייד משאף/דיסקוס	FLIXOTIDE	FLUTICASONE	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב- COPD
פלנדרן	PLENADREN	HYDROCORTISONE	יש לפנות לסמכות רפואית	טיפול באי ספיקה אדרנלית
פלקווניל	PLAQUENIL	HYDROXYCHLOROQUINE	אסור להתרים	טיפול במלריה ומחלות אוטואימוניות
פמוטידין	FAMOTIDINE	FAMOTIDINE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה או תריסריון, רפלוקס
פמוסטון	FEMOSTON	DYDROGESTERONE,ESTRADIOL	מותר להתרים	טיפול הורמונלי
פמיד	PAMID	INDAPAMIDE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
פמינט	FEMINET	DESOGESTREL, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
פמפירה	FAMPIRA	FAMPRIDINE	אסור להתרים	טיפול בטרשת נפוצה
פנאפט	FANAPT	ILOPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בסכיזופרניה
פנדול	PANADOL	PARACETAMOL	מותר להתרים	נגד כאבים
פנדול	PANADOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
פנוברביטון	PHENOBARBITONE	PHENOBARBITONE	מותר להתרים	טיפול בהפרעות שינה
פנטסה	PENTASA	MESALAZINE	אסור להתרים	טיפול במחלת קרוהן וקוליטיס מכוייבית (Ulcerative Colitis)
פנידין	PHENIDIN	METHYLPHENIDATE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
פניסטיל	FENISTIL	DIMETHINDENE	מותר להתרים	טיפול באלרגיה
פסנרה	FASENRA	BENRALIZUMAB	מותר להתרים בהתאם  להנחיות רפואיות (ראה אסטמה), ועברו 24 שעות ממועד הזריקה	טיפול באסטמה אאוזינופילית
פפברין	PAPAVERINE	PAPAVERINE	אסור להתרים אם ניתן למחלת מעי דלקתית חריפה או כרונית	טיפול בכאב עוויתי
פקסופנאדין	FEXOFENADINE	FEXOFENADINE	מותר להתרים	טיפול בנזלת אלרגית
פקסופנאדין	FEXOFENADINE	FEXOFENADINE	ראה אורטיקריה	טיפול באורטיקריה כרונית
פראלואנט	PRALUENT	ALIROCUMAB	מותר להתרים 24 שעות לאחר הזריקה	להורדת שומנים בדם
פראמול	PARAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
פראמול	PARAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
פראמול טרגט	PARAMOL TARGET	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
פראמול טרגט	PARAMOL TARGET	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
פראמין	PRAMIN	METOCLOPRAMIDE	אסור להתרים	טיפול בבחילות, הקאות
פראמין	PRAMIN	METOCLOPRAMIDE	מותר להתרים	טיפול  רפלוקס קיבה-ושט
פרבליפ	PRAVALIP	PRAVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
פרבסטאטין	PRAVASTATIN	PRAVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
פרגבלין	PREGABALIN	PREGABALIN	יש לפנות לסמכות רפואית	טיפול בכאבים נוירופטיים
פרדניזון	PREDNISONE	PREDNISONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
פרדקסה	PRADAXA	DABIGATRAN	אסור להתרים	לדילול דם
פרו-קיור	PRO-CURE	FINASTERIDE	מותר להתרים חודש לאחר סיום הטיפול	טיפול בהגדלת הפרוסטטה שפירה
פרואבניר	PROAVENIR	FINASTERIDE	מותר להתרים חודש לאחר סיום הטיפול	טיפול בנשירת שער
פרוברה	PROVERA	MEDROXYPROGESTERONE	מותר להתרים	טיפול הורמונלי
פרוגילוטון	PROGYLUTON	ESTRADIOL, NORGESTREL	מותר להתרים	טיפול הורמונלי
פרוויג'יל	PROVIIGIL	MODAFINIL	אסור להתרים	טיפול בהפרעות שינה בנרקולפסיה
פרוויג'יל	PROVIIGIL	MODAFINIL	מותר להתרים	טיפול בדום נשימה והפרעות שינה
פרווירון	PROVIRON	MESTEROLONE	מותר להתרים	טיפול הורמונלי לגברים
פרוזק	PROZAC	FLUOXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
פרוזק	PROZAC	FLUOXETINE	מותר להתרים	טיפול בבולימיה
פרוטופיק	PROTOPIC	TACROLIMUS	אסור להתרים	טיפול בדרמטיטיס קשה
פרוטוציד	PROTOCIDE	TINIDAZOLE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
פרוטיאזין	PROTHIAZINE	PROMETHAZINE	מותר להתרים	טיפול באלרגיה
פרוטיאזין	PROTHIAZINE	PROMETHAZINE	לפנות לבירור לסמכות רפואית	נגד הקאות
פרוטיאזין	PROTHIAZINE	PROMETHAZINE	מותר להתרים	להרגעה
פרוטין	PAROTIN	PAROXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
פרולול	PROLOL	PROPRANOLOL	אסור להתרים	טיפול בבעיות לב/ קצב לב מהיר בפעילות יתר של בלותת התריס
פרולול	PROLOL	PROPRANOLOL	מותר להתרים בהתאם למחלה/ מצב רפואי. יש לבדוק דופק	טיפול בתנועות בלתי רצוניות/ רעד
פרולול	PROLOL	PROPRANOLOL	מותר להתרים. יש לבדוק דופק	למניעת התקפי מיגרנה, טיפול ביתר לחץ דם
פרומניקס	PROMNIX	TAMSULOSIN	מותר להתרים	טיפול בהגדלת הפרוסטטה שפירה
פרומתזין סירופ	PROMETHAZINE SYRUP	PROMETHAZINE, GUAIACOLSULFONATE, IPECACUANHA	מותר להתרים לאחר סיום הטיפול והחלמה	נגד שיעול
פרופיטן	PROFITEN	KETOTIFEN	מותר להתרים	טיפול באלרגיה
פרופיל תיוציל	PROPYL-THIOCIL	PROPYLTHIOURACIL	מותר להתרים אם מאוזן	טיפול בפעילות יתר של בלוטת התריס
פרופניד	PROFENID	KETOPROFEN	אסור להתרים אם דלקת פעילה, חריפה או  כרונית	טיפול בדלקת
פרופסיה	PROPECIA	FINASTERIDE	מותר להתרים חודש לאחר סיום הטיפול	טיפול בנשירת שער
פרופקס	PROFEX	PROPAFENONE	אסור להתרים	טיפול בהפרעות קצב
פרוקור	PROCOR	AMIODARONE	אסור להתרים	טיפול בהפרעות קצב
פרוקל	FERROCAL	CALCIUM, IRON	מותר להתרים אם לא נלקח לתיקון אנמיה/חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
פרטאן	PARTANE	TRIHEXYPHENIDYL	יש לפנות לסמכות רפואית	פרקינסוניסם וטיפול בת"ל אקסטרהפירמידליות משניות לטיפול תרופתי אחר
פריזולין	PRYSOLINE	PRIMIDONE	אסור להתרים	נגד התכווצויות
פריזיום	FRISIUM	CLOBAZAM	מותר להתרים	טיפול במצבי חרדה
פריזמה	PRIZMA	FLUOXETINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון  ובעיות נפשיות
פרייד	PRIDE	AMISULPRIDE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
פרימולוט-נור	PRIMOLUT-NOR	NORETHISTERONE	מותר להתרים	טיפול הורמונלי
פריפול	FERRIFOL	FOLIC ACID, IRON	מותר להתרים אם לא נלקח לתיקון אנמיה/חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
פריפל	FERRIPEL	IRON	מותר להתרים אם לא נלקח לתיקון אנמיה/חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
פריקאט	PERICATE	HALOPERIDOL	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בסכיזופרניה ובעיות נפשיות שונות
פרמיפקסול	PRAMIPEXOLE	PRAMIPEXOLE	סיכון לירידת לחץ דם, מותר להתרים בהתאם למצבו התורם. לוודא שתייה,למדוד ל"ד ודופק 15 דקות לאחר תרומה	טיפול במחלת פרקינסון
פרמיקסון	PERMIXON	LIPIDOSTEROLIC EXTRACT	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
פרסוגרל	PRASUGREL	PRASUGREL	יש לפנות לסמכות רפואית. לא לטרומבוציטים	לדילול דם
פרסולאט	PRESSOLAT	NIFEDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
פרפנאן	PERPHENAN	PERPHENAZINE	מותר להתרים	להרגעה
פרפנאן	PERPHENAN	PERPHENAZINE	מותר להתרים לאחר החלמה	טיפול בהקאות
פרקוסט	PERCOCET	OXYCODONE  PARACETAMOL	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	נגד כאבים
צ'מפיקס	CHAMPIX	VARENICLINE	מותר להתרים	להפסקת עישון
ציטאלופרם	CITALOPRAM	CITALOPRAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון ובעיות נפשיות
צייטוטק	CYTOTEC	MISOPROSTOL	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול/מניעה כיב קיבה או תריסריון
ציסטגון	CYSTAGON	CYSTEAMINE	יש לפנות לסמכות רפואית	טיפול בנפרופטיק ציסטינוזיס
ציסטדן	CYSTADANE	BETAINE ANHYDROUS	מותר להתרים	טיפול בהומוציסטאין גבוה
ציפראמיל	CIPRAMIL	CITALOPRAM	מותר להתרים	טיפול בדיכאון ובעיות נפשיות
ציפרודקס	CIPRODEX	CIPROFLOXACIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
ציפרופלוקסצין	CIPROFLOXACIN	CIPROFLOXACIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
ציפרלקס	CIPRALEX	ESCITALOPRAM	מותר להתרים	טיפול בדיכאון
צפוויט	CEFOVIT	CEPHALEXIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
קארין	KARIN	CLARYTHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
קבותרים	CABOTRIM	CABERGOLINE	יש לפנות לסמכות רפואית	טיפול ברמת פרולקטין גבוה
קבותרים	CABOTRIM	CABERGOLINE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
קבזרה	KEVZARA	SARILUMAB	אסור להתרים	טיפול בדלקת פרקים ראומטית פעילה
קדקס	CADEX	DOXAZOZIN	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
קו-דיובאן	CO-DIOVAN	VALSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
קוד-אקמול	COD-ACAMOL	CODEINE, PARACETAMOL	מותר להתרים	נגד כאבים
קוד-אקמול	COD-ACAMOL	CODEINE, PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום ושיעול
קודאברול	CODABROL	CODEINE, PARACETAMOL	מותר להתרים	נגד כאבים
קודאברול	CODABROL	CODEINE, PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום ושיעול
קודיביס	CODIVIS	PHENYLTOLOXAMINE, CODEINE	מותר להתרים  לאחר סיום הטיפול והחלמה מלאה	נגד שיעול
קודיקל	CODICAL	CODEINE, PARACETAMOL	מותר להתרים לאחר החלמה	נגד שעול
קוואטיאפין	QUETIAPINE	QUETIAPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
קולוטאל	COLOTAL	MEBEVERINE	מותר להתרים	טיפול במעי רגיז
קולכיצין	COLCHICINE	COLCHICINE	מותר להתרים 24 שעות לאחר נטילת התרופה בהתאם להנחיות רפואיות	מניעה וטיפול בשיגדון וב FMF
קולפרמין	COLPERMIN	PEPPERMINT OIL	מותר להתרים	טיפול במעי רגיז
קומבודקס	COMBODEX	IBUPROFEN, PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
קומבודקס	COMBODEX	IBUPROFEN, PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום וצינון
קומביגלייז	KOMBIGLYZE	METFORMIN, SAXAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
קומדין	COUMADIN	WARFARIN	אסור להתרים	נוגד קרישה
קומטן	COMTAN	ENTACAPONE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
קומפטקט	COMPETACT	METFORMINE, PIOGLITAZONE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
קונטלקס	CONTALAX	BISACODYL	מותר להתרים	נגד עצירות
קונטרולוק	CONTROLOC	PANTOPRAZOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה, רפלוקס, הליקובקטר
קונסרטה	CONCERTA	METHYLPHENIDATE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
קונקור	CONCOR	BISOPROLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
קונקור	CONCOR	BISOPROLOL	אסור להתרים	טיפול בבעיות לב
קוסנטיקס	COSENTYX	SECUKINUMAB	אסור להתרים	טיפול בפסוריאזיס קשה
קורוסן	COROSAN	DIPYRIDAMOLE	לפנות לסמכות רפואית	לדילול דם
קורטיזון אצטאט	CORTISONE ACETATE	CORTISONE ACETATE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
קזודקס	CASODEX	BICALUTAMIDE	אסור להתרים	טיפול בסרטן פרוסטטה
קטאפלם	CATAFLAM	DICLOFENAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
קטוקונזול	KETOCONAZOLE	KETOCONAZOLE	אסור להתרים	טיפול בתסמונת קושינג
קיו-ואר	QVAR	BECLOMETHASONE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
קיוטרן	QTERN	SAXAGLIPTIN, DAPAGLIFLOZIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
קיופנס	CUFENCE	TRIENTINE	אסור להתרים	טיפול במחלת וילסון
קיורטן	CURATANE	ISOTRETINOIN	מותר להתרים חודש לאחר סיום הטיפול	טיפול באקנה
קינידין	QUINIDINE	QUINIDINE	אסור להתרים	טיפול בהפרעות קצב
קינרט	KINERET	ANAKINRA	אסור להתרים	טיפול בראומטויד ארטריטיס פעילה
קלאסיד	KLACID	CLARYTHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
קלבטן	KALBETEN	BISMUTH	מותר להתרים אם אין עדות לגסטרואנטריטיס חריפה	טיפול בשלשול, בחילה,  אי נוחות במע' העיכול
קלגרון	KALGARON	LIDOCAINE, TYROTHRICIN	מותר להתרים לאחר סיום הטיפול והחלמה	לדלקת גרון
קלובה	KALOBA	HERBAL EXTRACT	מותר להתרים לאחר סיום הטיפול והחלמה	נגד שיעול וליחה
קלוד	CLOOD	CLOPIDOGREL	יש לפנות לסמכות רפואית. לא לטרומבוציטים	דילול דם
קלוניריט	CLONNIRIT	CLONIDINE	מותר להתרים	למניעת התקפי מיגרנה, כאבי ראש וגלי חום
קלונקס	CLONEX	CLONAZEPAM	אסור להתרים	טיפול באפילפסיה
