סורינאם	Suriname	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון עיקרי בפרובינציות Sipaliwini, קרוב לגבול גיאנה הצרפתית.
סיירה לאונה	Sierra Leone	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
סיישל	Seychelles	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סין	China	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סינגפור	Singapore	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סמואה	Samoa	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סמואה האמריקאית	American Samoa	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סן ברתלמי	Saint Barthelemy	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סן מרטן	Saint Martin	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סנגל	Senegal	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
סנט אוסטטיוס	Sint Eustatius	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סנט וינ.וגרנדין	Saint Vincent and the Grenadines	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סנט מארטן	Sint Maarten	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סנט קיטס ונוויס	Saint Kitts & Nevis	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סנטה לוצ'יה	Saint Lucia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סרי לנקה	Sri Lanka	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
עומאן	Oman	נגיף קורונה (MERS)	ביקור - דחייה לשבועיים	
ערב הסעודית	Saudi Arabia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ערב הסעודית	Saudi Arabia	מלריה	ביקור - דחייה ל 12 חודשים. עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בפרובינציות: Asir, Jizan. אין סיכון בערים- Jeddah, Mecca, Medina, Taif, Riyadh.
פאלאו	Palau	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פולינזיה צרפתית	French Polynesia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פורטוריקו	Puerto Rico	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פיג'י	Fiji	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פיליפינים	Philippines	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פיליפינים	Philippines	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון באיי Palawan ו- Mindanao. אין סיכון במטרופולין של Manila ואזורים עירוניים אחרים.
פנמה	Panama	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פנמה	Panama	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בפרובינציות: Bocas del Toro, Chiriquí, Colón, Darién, Panamá, Panamá Oeste, Veraguas, Emberá, Kuna Yala , Ngäbe-Buglé אין סיכון באזור תעלת פנמה, ו- Panama City.
פפואה ניו-גינאה	Papua New Guinea	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים עפ"י אזורים.	סיכון בכל האזורים הנמוכים מ-2000 מ'.
פקיסטן	Pakistan	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים עפ"י אזורים.	סיכון באזורים נמוכים מ- 2500 מ'.
פרגואי	Paraguay	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פרו	Peru	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
פרו	Peru	מלריה	ביקור - דחייה ל 12 חודשים. עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון באזורים נמוכים מ 2500m, מזרחית ל-Andes כולל Iquitos ו- Puerto Maldonado אין סיכון באזורים הבאים: פרובינציית Lima, הערים Arequipa, Ica, Moquegua, Nazca, Puno, ו- Tacna, אזורי הרמה התיירותיים (Cuzco, Machu Picchu, ואגם Titicaca) ולאורך חוף האוקיינוס השקט.
צ'אד	Chad	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
קובה	Cuba	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
קולומביה	Colombia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
קולומביה	Colombia	מלריה	מלריה: ביקור - דחייה ל 12 חודשים עפ""י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בכל האזורים נמוכים מ 1700m. אין סיכון ב Bogota ו- Cartagena ו Medellin.
קומורו	Comoros	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
קוסטה ריקה	Costa Rica	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
